Publication Title,count
IEEE Access,30
Computational Thinking,17
IEEE Transactions on Education,15
2021 IEEE Frontiers in Education Conference (FIE),13
2024 IEEE Frontiers in Education Conference (FIE),12
2015 IEEE Frontiers in Education Conference (FIE),12
2024 IEEE Global Engineering Education Conference (EDUCON),11
Computing in Science & Engineering,10
2019 IEEE Frontiers in Education Conference (FIE),10
IEEE Revista Iberoamericana de Tecnologias del Aprendizaje,9
2018 IEEE Frontiers in Education Conference (FIE),9
"2018 9th International Conference on Computing, Communication and Networking Technologies (ICCCNT)",8
IEEE Transactions on Learning Technologies,8
2020 IEEE Frontiers in Education Conference (FIE),8
2023 IEEE Frontiers in Education Conference (FIE),7
